,close,date,low,low date,ticker,weeks of decline,weeks until rebound
19,32.42,20150327,20.92,20150116,ZOES,6,1
24,53.59,20150327,22.02,20150116,OII,2,1
25,19.95,20150529,16.39,20150116,EROS,3,10
33,13.05,20150417,10.8,20150116,ECA,15,4
41,66.55,20150327,40.88,20150116,CRM,11,1
42,38.98,20150417,32.05,20150116,CRR,26,4
44,30.0,20150327,18.6,20150116,CRR,26,1
53,35.35,20161230,11.64,20150116,BAS,5,93
68,26.83,20150327,17.09,20150116,WLKP,26,1
69,41.39,20170804,35.94,20150116,WTW,4,124
70,24.0,20151113,20.05,20150116,WTW,5,34
76,15.75,20151023,11.01,20150116,WTW,5,31
79,16.09,20150327,13.38,20150116,BWP,13,1
80,23.04,20150327,10.68,20150116,TPC,24,1
83,39.13,20151009,16.34,20150116,FLOW,13,1
84,27.9,20150522,24.25,20150116,VEEV,24,9
97,51.6,20150327,28.36,20150116,NSP,1,1
101,47.68,20150327,24.96,20150116,CFX,1,1
107,25.31,20150327,19.0,20150116,DCO,26,1
111,17.56,20150410,14.68,20150116,WAC,11,3
113,15.99,20150327,10.02,20150116,WAC,18,1
121,22.62,20150327,13.58,20150116,HMLP,26,1
122,12.35,20150327,10.33,20150116,WFT,9,1
136,47.05,20150327,18.93,20150116,OKE,1,1
138,20.51,20171013,16.37,20150116,JP,5,117
146,49.28,20150327,13.47,20150116,WMB,5,1
148,15.43,20150327,13.04,20150116,WAIR,10,1
164,99.65,20150327,31.59,20150116,MPC,2,1
165,25.69,20150327,17.1,20150116,HZO,1,1
174,13.42,20150327,10.4,20150116,GTN,25,1
177,16.52,20150327,11.17,20150116,WWE,6,1
180,29.27,20150327,17.77,20150116,AAC,22,1
186,13.96,20150327,10.3,20150116,WNC,3,1
190,17.22,20150327,12.64,20150116,WD,9,1
192,14.58,20150410,12.67,20150116,USDP,2,3
198,15.43,20150327,11.25,20150116,RNG,2,1
213,48.44,20150327,10.6,20150116,HOME,8,1
217,20.26,20150402,17.57,20150116,PHX,7,2
218,19.59,20150327,14.06,20150116,PHX,17,1
222,22.77,20150327,18.42,20150116,TRK,4,1
223,146.44,20150327,108.41,20150116,PANW,8,1
224,43.17,20150327,35.85,20150116,HLF,1,1
226,59.68,20150807,49.54,20150116,HLF,8,20
227,43.17,20150327,30.48,20150116,HLF,26,1
235,71.69,20150327,25.4,20150116,SKX,3,1
248,82.19,20150327,35.35,20150116,APC,5,1
259,45.34,20150327,18.85,20150116,GRUB,13,1
265,70.22,20150327,58.6,20150116,PRLB,22,1
269,19.55,20150327,11.05,20150116,LC,2,1
273,12.88,20150327,10.02,20150116,DMB,24,1
285,76.83,20150327,63.42,20150116,OA,14,1
287,12.05,20151127,10.22,20150116,SQ,14,1
288,42.71,20150327,28.42,20150116,TDC,4,1
297,34.1,20150327,23.78,20150116,CTL,8,1
299,41.27,20150327,13.0,20150116,KMI,6,1
305,56.98,20150327,45.0,20150116,GBX,2,1
309,48.03,20150327,18.92,20150116,PAA,15,1
310,23.02,20150327,17.27,20150116,TCAP,5,1
314,49.0,20150327,32.07,20150116,SHAK,22,1
316,32.33,20150327,18.44,20150116,W,9,1
318,49.53,20150814,35.21,20150116,W,12,21
322,52.2,20180112,44.51,20150116,TKR,4,147
323,13.66,20150515,10.97,20150116,SSNI,16,8
333,24.12,20150327,13.91,20150116,PHH,8,1
337,18.85,20150417,16.1,20150116,CVE,26,4
338,23.56,20150522,12.8,20150116,NYLD,7,1
343,197.84,20150327,26.98,20150116,VRX,25,1
350,22.06,20150327,11.07,20150116,SPN,12,1
352,45.57,20150327,21.34,20150116,XPO,17,1
353,69.22,20150327,59.85,20150116,CNC,12,1
355,52.01,20150327,44.57,20150116,PCG,10,1
356,18.51,20150327,13.02,20150116,FN,5,1
360,22.17,20150327,18.63,20150116,EDU,26,1
361,27.73,20150327,20.33,20150116,AAN,10,1
362,15.41,20151030,13.24,20150116,FF,18,32
363,21.44,20150402,11.23,20150116,JCAP,1,1
365,56.64,20150327,16.26,20150116,HCC,10,1
366,55.11,20150327,33.82,20150116,ELS,11,1
367,46.86,20150327,26.08,20150116,MUR,20,1
378,17.49,20150417,14.8,20150116,P,20,4
385,56.43,20150327,37.05,20150116,TPX,6,1
396,26.59,20150327,22.91,20150116,DQ,9,1
397,29.2,20150410,23.74,20150116,DQ,1,3
398,26.59,20150327,19.33,20150116,DQ,15,1
412,18.63,20150327,16.06,20150116,TCS,15,1
427,21.5911,20150327,10.15,20150116,MTR,15,1
429,65.51,20150327,34.05,20150116,LCI,2,1
434,28.75,20151016,23.22,20150116,IPHI,3,30
435,30.49,20150515,26.42,20150116,GIMO,1,8
436,21.1,20150327,10.17,20150116,GIMO,23,1
438,29.75,20150424,20.42,20150116,GIMO,11,5
439,35.02,20160617,30.4,20150116,GIMO,9,65
440,36.51,20160624,31.7,20150116,GIMO,14,66
441,33.63,20150619,28.63,20150116,NGL,1,13
468,48.69,20150327,10.99,20150116,CBI,1,1
481,16.94,20150327,12.67,20150116,CELP,25,1
490,69.7,20150327,28.48,20150116,SSTK,12,1
493,17.41,20150327,10.04,20150116,XOXO,2,1
498,90.05,20150327,59.65,20150116,URI,10,1
500,64.84,20150327,36.28,20150116,AOS,6,1
502,31.97,20150327,21.91,20150116,EGL,22,1
510,31.41,20150327,16.76,20150116,SMLP,7,1
519,26.39,20150327,16.73,20150116,JKS,6,1
523,34.03,20160701,27.63,20150116,TWLO,10,1
528,20.54,20150327,11.76,20150116,ONDK,24,1
542,18.26,20150327,10.17,20150116,LADR,1,1
543,14.27,20150814,10.18,20150116,BETR,15,1
547,25.18,20150327,10.94,20150116,PRO,12,1
548,13.94,20150327,10.07,20150116,BYD,1,1
554,23.16,20150327,12.2,20150116,NOAH,11,1
571,19.35,20161028,11.08,20150116,MPO,4,84
572,33.86,20150327,26.53,20150116,HBI,2,1
576,13.85,20150417,12.04,20150116,HTGC,18,4
577,21.76,20150327,15.04,20150116,SUM,2,1
587,28.11,20150327,18.51,20150116,PAGP,2,1
590,21.79,20150327,12.21,20150116,CPN,1,1
591,14.59,20150417,12.34,20150116,MRC,5,4
